"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001822","kidney development","57/1283","325/18805",0.175384615384615,2.57062173991247,7.72874383318687,3.67965442594729e-11,1.94051593862911e-08,1.38488812031107e-08,"ADIPOQ/CD24/EPCAM/TACSTD2/CDKN1C/CAT/SDC1/ANGPT1/GATA3/EDNRB/TFAP2A/EZH2/SOX4/MME/SDC4/KCNJ8/ASS1/SERPINF1/ACAT1/SOX9/KANK2/TEK/PCSK5/FGF2/ZBTB16/RGN/GPC3/IL6R/ADAMTS1/DLG5/SMAD6/BCL2/PROM1/TNS2/AQP1/PLXND1/CENPF/AGTR1/SMAD7/CTNNB1/PECAM1/NID1/LAMB2/GLI2/TFAP2B/SPRY1/WFS1/EGR1/CALB1/FGFR1/RET/ITGB3/STAT1/BMP2/HYAL2/SMAD5/PTPRO",57
"GO:1990845","adaptive thermogenesis","38/1283","169/18805",0.224852071005917,3.29566889732367,8.11190513466197,4.45374547597291e-11,2.15301479217657e-08,1.53654218921065e-08,"LEP/FABP4/ADIPOQ/G0S2/CD36/CAV1/S100B/QKI/EPAS1/ACADL/CXCR4/ACSL1/CIDEA/ADAMTS5/HADH/NPR3/LAMA4/TFE3/FABP5/PLCL2/ADIPOR2/ABHD6/LEPR/SMARCA4/NOVA1/ALDH1A1/EBF2/SCD/CEBPB/HSF1/PEMT/TLE3/TLR4/NR1H3/LPIN1/SORL1/ADAM17/ID1",38
"GO:0007044","cell-substrate junction assembly","27/1283","96/18805",0.28125,4.122296375682,8.29910129473866,1.36987030283985e-10,6.11278278982614e-08,4.36251004135153e-08,"SORBS1/TNS1/FERMT2/ITGB1BP1/DLC1/SDC4/PTPRK/PTEN/TEK/FN1/LAMC1/PPM1F/ARHGEF7/BCL2/LIMCH1/DUSP3/S100A10/APOD/DST/CORO2B/EPHA3/ITGB4/MAP4K4/HRG/ITGB3/FAM107A/ROCK2",27
"GO:0150115","cell-substrate junction organization","28/1283","103/18805",0.271844660194175,3.98444180432693,8.2183439309482,1.50702980616184e-10,6.24448564681775e-08,4.45650242679288e-08,"SORBS1/TNS1/FERMT2/ITGB1BP1/DLC1/SDC4/PTPRK/PTEN/TEK/FN1/LAMC1/PPM1F/ARHGEF7/BCL2/LIMCH1/DUSP3/S100A10/APOD/PIK3R1/DST/CORO2B/EPHA3/ITGB4/MAP4K4/HRG/ITGB3/FAM107A/ROCK2",28
"GO:0010876","lipid localization","72/1283","482/18805",0.149377593360996,2.18943541944936,7.15834633684814,2.33943589163591e-10,9.04737840491994e-08,6.45684306091511e-08,"ACACB/LPL/LEP/RBP4/FABP4/ADIPOQ/CIDEC/AKR1C1/CD36/ABCA8/PPARG/CAV1/ACSL1/STX12/TMEM97/CIDEA/FZD4/OSBPL1A/KCNJ8/IRS2/APOLD1/FABP5/C1QTNF1/ANXA1/RXRA/CLU/ATP9B/ESYT1/PLIN2/PTPN11/MYB/PLA2G4A/ABHD5/PLSCR4/ANO3/NME4/MIF/DAB2/VLDLR/ATP9A/ABCA1/SREBF2/PLEKHA8P1/ABCD4/TMEM41B/PRELID3B/GOT2/ACSL3/NR0B2/AGTR1/EPRS1/APOD/VDAC1/VPS4A/NR1H3/APOL3/ABCA5/HILPDA/APOC1/PNPLA2/APOL6/CRY1/ABCA6/ANXA2/CHKA/GULP1/PTPN2/ITGB3/TSKU/SPP1/INHBA/ABCD2",72
"GO:0043434","response to peptide hormone","72/1283","494/18805",0.145748987854251,2.13625075338986,6.92513491606923,7.11349082489084e-10,2.49802094555152e-07,1.78276275031603e-07,"LEP/ADIPOQ/SORBS1/PDE3B/RARRES2/CAV2/PPARG/PCK1/CAV1/KANK1/GHR/CAT/TGFBR3/ECHDC3/EDNRB/ADM/DDR1/HADH/KCNJ8/PRKCI/PID1/CDO1/RHOQ/ASS1/INPP5K/IRS2/FOXO1/SIK2/GNAI1/EGFR/TEK/ZNF106/XBP1/PTPN11/CCNA2/FOS/SOS1/NTRK2/DDR2/SMARCC1/HSF1/TNS2/FLT1/JAK1/STAT5A/TYRO3/WDTC1/AGTR1/EPRS1/COL1A1/STC2/SCNN1A/ADCY6/MAP3K7/LPIN1/TRIM24/KAT2B/PIK3R1/EGR1/CRY1/GCLC/EPHA3/SORL1/FGFR1/RET/PTPN2/ITGB3/EPHB1/STAT1/INHBA/ROCK2/NDEL1",72
"GO:0071375","cellular response to peptide hormone stimulus","59/1283","369/18805",0.159891598915989,2.34353976431425,7.05305011054709,7.32052337086291e-10,2.49802094555152e-07,1.78276275031603e-07,"LEP/ADIPOQ/SORBS1/PDE3B/RARRES2/CAV2/PPARG/PCK1/CAV1/KANK1/GHR/ECHDC3/DDR1/PRKCI/PID1/RHOQ/ASS1/INPP5K/IRS2/FOXO1/SIK2/EGFR/TEK/ZNF106/XBP1/PTPN11/CCNA2/FOS/SOS1/NTRK2/DDR2/SMARCC1/HSF1/TNS2/FLT1/JAK1/STAT5A/TYRO3/WDTC1/AGTR1/EPRS1/SCNN1A/ADCY6/MAP3K7/LPIN1/KAT2B/PIK3R1/GCLC/EPHA3/SORL1/FGFR1/RET/PTPN2/ITGB3/EPHB1/STAT1/INHBA/ROCK2/NDEL1",59
"GO:0019216","regulation of lipid metabolic process","56/1283","343/18805",0.163265306122449,2.39298837227798,7.04533728910297,9.00817964029897e-10,2.90313611629857e-07,2.07188131726876e-07,"ACACB/LEP/ADIPOQ/SORBS1/CIDEC/PDE3B/RARRES2/PPARG/PCK1/CAV1/AKR1C3/QKI/ACADL/ADM/CIDEA/FMO2/IRS2/PLPP1/FABP5/GOLM1/ATP1A1/SOX9/GNAI1/XBP1/ABHD6/NR3C1/RGN/MTMR1/ABHD5/DAB2/TWIST1/SREBF2/SERPINA3/CREBL2/AADAC/ACSL3/WDTC1/ADGRF5/APOD/NR1H3/IDH1/APOC1/ELOVL5/CHP1/PNPLA2/KAT2B/ZBTB20/EGR1/CRTC3/DKK3/SORL1/ASAH1/BMP2/ASXL3/PDE8B/ABCD2",56
"GO:0001503","ossification","68/1283","458/18805",0.148471615720524,2.1761564564493,6.89543893736166,9.68783117822243e-10,2.95784782446675e-07,2.11092742514952e-07,"LEP/PPARG/CHRDL1/FERMT2/CAT/TFAP2A/CEBPA/DHRS3/S1PR1/TMT1A/SOX9/RXRA/IGF1/PTEN/EGFR/TEK/FGF2/ZBTB16/BCOR/SLC24A3/PTPN11/GPC3/CRIM1/RRAS2/IL6R/LTF/TWIST1/DDR2/CEBPB/FHL2/SMAD6/BCL2/MMP13/MDK/DHX9/ADAMTS7/FZD1/COL11A1/SETD2/SUCO/SMAD7/COL1A1/CTNNB1/ISG15/TPM4/PEX7/EIF2AK3/GLI2/MAPK11/GTPBP4/SLC26A2/HSPE1/COL1A2/IGFBP3/ALOX5/TOB1/CLEC11A/IL6ST/BMP2K/HNRNPC/H3-3B/TMCO1/JUNB/BMP2/PTGER4/SPP1/SMAD5/PLXNB1",68
"GO:0045765","regulation of angiogenesis","58/1283","363/18805",0.159779614325069,2.34189840014257,6.98579038720881,1.04894275734862e-09,3.04245846768968e-07,2.17131150771165e-07,"LEP/ANGPTL4/PDE3B/CD36/PPARG/RGCC/QKI/CXCR4/ADM/KLF4/ADGRA2/SASH1/SERPINF1/TEK/F3/XBP1/HIPK2/SPARC/FGF2/CDH5/TGFBR2/COL4A2/ADAMTS1/TWIST1/KLF2/PPP1R16B/PLK2/ATP2B4/RRAS/HK2/CLDN5/MDK/AQP1/FLT1/NPR1/WNK1/DCN/PLXND1/RTN4/JAK1/DDAH1/TNMD/CTNNB1/JCAD/FYN/KRIT1/SP100/RECK/PTPRM/STAB1/ALOX5/HRG/ITGB3/STAT1/RAPGEF3/HTATIP2/BTG1/ROCK2",58
"GO:0006631","fatty acid metabolic process","63/1283","413/18805",0.152542372881356,2.23582176308176,6.87168110780223,1.3587931056407e-09,3.75350419324843e-07,2.67876355112024e-07,"ACACB/LPL/LEP/AKR1C2/ADIPOQ/AKR1C1/CD36/PPARG/PCK1/CAV1/AKR1C3/PRKAR2B/QKI/ACSM5/ETFB/ACADL/ACSL1/ECHDC3/ACAA2/HADH/MGLL/FMO2/GPX4/IRS2/ECHS1/ACAT1/FABP5/SOX9/ALDH3A2/ADIPOR2/XBP1/ABHD6/HACD2/RGN/MSMO1/PLA2G4A/ETFDH/ABHD5/GPX1/MIF/TWIST1/SCD/CYP4B1/PCCA/ADH5/ABCD4/ACSL3/WDTC1/EPHX1/NR1H3/PEX7/ECH1/APOC1/LPIN1/ELOVL5/KAT2B/ECHDC1/CYP3A4/ALOX5/ASAH1/ACOX1/FADS3/ABCD2",63
"GO:0010810","regulation of cell-substrate adhesion","42/1283","224/18805",0.1875,2.748197583788,7.12240384146471,1.77563080050266e-09,4.68201557896178e-07,3.34141432458227e-07,"TACSTD2/CD36/KANK1/FERMT2/ITGB1BP1/ECM2/DLC1/DDR1/FZD4/SDC4/EGFL6/PTEN/TEK/FN1/PPM1F/ARHGEF7/POSTN/DAB2/RRAS/BCL2/CEACAM6/AGR2/MDK/LIMCH1/DUSP3/S100A10/COL1A1/EFEMP2/APOD/NID1/FZD7/FBLN2/PIK3R1/CORO2B/EPHA3/MAP4K4/HRG/ITGB3/FAM107A/NEDD9/PTPRO/ROCK2",42
"GO:0016042","lipid catabolic process","56/1283","350/18805",0.16,2.34512860483242,6.87365004193282,1.93403974318766e-09,4.87798458705723e-07,3.48127153773779e-07,"ACACB/LPL/LEP/ADIPOQ/PLIN1/CIDEC/PDE3B/RARRES2/PCK1/AKR1C3/ETFB/ACADL/PLAAT3/CIDEA/PLPP3/ACAA2/HADH/MGLL/IRS2/ECHS1/ACAT1/PLPP1/PRDX6/HSD11B1/STS/PLPP2/ABHD6/PLA2G4A/ENPP2/ETFDH/ABHD5/TWIST1/ABHD4/PLAAT4/PCCA/LIPE/ALDH3B2/ABCD4/PAFAH1B3/AADAC/PEX7/ECH1/IDH1/APOC1/LPIN1/PNPLA2/ECHDC1/CYP3A4/CRTC3/SORL1/ASAH1/NEU3/SPP1/ACOX1/RAB7A/ABCD2",56
"GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","48/1283","278/18805",0.172661870503597,2.53071432176161,6.95761837826823,2.21496905425969e-09,5.35376478490019e-07,3.82082161859796e-07,"LEP/AKR1C2/PDE3B/AKR1C3/FERMT2/ITGB1BP1/CAT/ANGPT1/GATA3/DDR1/INPP5K/IRS2/TPBG/C1QTNF1/TMEM100/IGF1/PTEN/EGFR/TEK/XBP1/FGF2/FN1/GPX1/CAVIN3/NTRK2/TWIST1/DDR2/PPP1R16B/RRAS/FLT1/DCN/RTN4/APP/TYRO3/CEP55/PINK1/PRR5/TXN/FBXL2/PIP5K1C/VAV3/TCF7L2/FGFR1/RET/THPO/RAPGEF3/HYAL2/PLXNB1",48
"GO:0032868","response to insulin","53/1283","324/18805",0.16358024691358,2.39760447639117,6.86658287419281,2.37257650846149e-09,5.50532653023405e-07,3.92898669801223e-07,"LEP/ADIPOQ/SORBS1/PDE3B/RARRES2/CAV2/PPARG/PCK1/KANK1/GHR/CAT/ECHDC3/ADM/DDR1/HADH/KCNJ8/PRKCI/PID1/RHOQ/INPP5K/IRS2/FOXO1/SIK2/EGFR/TEK/ZNF106/XBP1/PTPN11/FOS/SOS1/NTRK2/DDR2/SMARCC1/TNS2/FLT1/TYRO3/WDTC1/EPRS1/COL1A1/LPIN1/KAT2B/PIK3R1/EGR1/CRY1/GCLC/EPHA3/SORL1/FGFR1/RET/PTPN2/EPHB1/STAT1/NDEL1",53
"GO:1901342","regulation of vasculature development","58/1283","372/18805",0.155913978494624,2.28523956788106,6.77491978114552,2.69059238947543e-09,6.00312555821036e-07,4.28425095862626e-07,"LEP/ANGPTL4/PDE3B/CD36/PPARG/RGCC/QKI/CXCR4/ADM/KLF4/ADGRA2/SASH1/SERPINF1/TEK/F3/XBP1/HIPK2/SPARC/FGF2/CDH5/TGFBR2/COL4A2/ADAMTS1/TWIST1/KLF2/PPP1R16B/PLK2/ATP2B4/RRAS/HK2/CLDN5/MDK/AQP1/FLT1/NPR1/WNK1/DCN/PLXND1/RTN4/JAK1/DDAH1/TNMD/CTNNB1/JCAD/FYN/KRIT1/SP100/RECK/PTPRM/STAB1/ALOX5/HRG/ITGB3/STAT1/RAPGEF3/HTATIP2/BTG1/ROCK2",58
"GO:1904951","positive regulation of establishment of protein localization","53/1283","331/18805",0.16012084592145,2.34689985000224,6.6898355684856,5.10262091808956e-09,1.09630755354954e-06,7.82401874107066e-07,"LEP/RBP4/PPARG/ITGB1BP1/MYOM1/CDH1/SFN/TMEM97/SOX4/ANK3/IRS2/IGF1/EGFR/CDK1/XBP1/ABLIM3/CCT6A/ASPH/CD81/STOM/SREBF2/CCT3/PPP3CB/FRMD4A/MYH10/RAN/ACSL3/APP/NR0B2/PINK1/TLR4/SRI/TMEM132A/FYN/SH3GLB1/CAMK1/KCNB1/SERP1/CHP1/PIK3R1/FZD5/ANG/CORO2B/ECT2/ABAT/MIEF1/TCF7L2/SORL1/RAPGEF3/ARIH2/HYAL2/CCT5/KIF20B",53
"GO:0051051","negative regulation of transport","67/1283","467/18805",0.143468950749465,2.10283212692415,6.53038035021599,5.37358268424933e-09,1.11329118397608e-06,7.94522582599722e-07,"LEP/ADIPOQ/BIN1/CD36/CAV1/PTGER3/ANGPT1/ATP1A2/HADH/ANK3/PID1/GABRE/INPP5K/IRS2/FOXO1/FABP5/ANXA1/HMGCR/KCNAB1/PTEN/VAMP8/MDFIC/PPM1F/CRYAB/PTPN11/LGALS3/SNX3/IL12A/TRIM27/ATP9A/SREBF2/BCL2/PPP3CB/FRMD4A/WNK1/P2RY1/PKIG/ASIC1/LRRTM2/SRI/APOD/VDAC1/TXN/NR1H3/ARHGAP1/CASQ2/CD47/KCNB1/PEA15/ISCU/APOC1/CHP1/SP100/VAMP3/ABAT/CRY1/ANXA2/EPHA3/RAB33B/NEU3/ITGB3/GNAZ/INHBA/RGS4/TNFRSF1B/PDE8B/RAB7A",67
"GO:0032869","cellular response to insulin stimulus","45/1283","260/18805",0.173076923076923,2.53679776965046,6.75206459126092,6.48904831521132e-09,1.298033423329e-06,9.26367587068099e-07,"LEP/ADIPOQ/SORBS1/PDE3B/RARRES2/CAV2/PPARG/PCK1/KANK1/GHR/ECHDC3/DDR1/PRKCI/PID1/RHOQ/INPP5K/IRS2/FOXO1/SIK2/EGFR/TEK/ZNF106/XBP1/PTPN11/SOS1/NTRK2/DDR2/SMARCC1/TNS2/FLT1/TYRO3/WDTC1/EPRS1/LPIN1/KAT2B/PIK3R1/GCLC/EPHA3/SORL1/FGFR1/RET/PTPN2/EPHB1/STAT1/NDEL1",45
"GO:0006869","lipid transport","66/1283","460/18805",0.143478260869565,2.10296858585516,6.48081780800673,6.97781031888889e-09,1.34927592199582e-06,9.62937824006667e-07,"LEP/RBP4/FABP4/ADIPOQ/CIDEC/AKR1C1/CD36/ABCA8/PPARG/CAV1/ACSL1/STX12/TMEM97/CIDEA/FZD4/OSBPL1A/KCNJ8/IRS2/APOLD1/FABP5/C1QTNF1/ANXA1/RXRA/CLU/ATP9B/ESYT1/PLIN2/PTPN11/MYB/PLA2G4A/PLSCR4/ANO3/NME4/MIF/DAB2/VLDLR/ATP9A/ABCA1/SREBF2/PLEKHA8P1/ABCD4/TMEM41B/PRELID3B/GOT2/ACSL3/NR0B2/AGTR1/EPRS1/APOD/VDAC1/VPS4A/NR1H3/APOL3/ABCA5/APOC1/APOL6/CRY1/ABCA6/ANXA2/CHKA/GULP1/ITGB3/TSKU/SPP1/INHBA/ABCD2",66
"GO:0048545","response to steroid hormone","53/1283","338/18805",0.156804733727811,2.29829541523888,6.51748905373961,1.06696612550485e-08,1.99660338517859e-06,1.42491605148067e-06,"ADIPOQ/PCK1/CAV1/AKR1C3/GHR/SDC1/FOSB/ADM/ATP1A2/FKBP4/CDO1/ASS1/SERPINF1/PLPP1/SLIT3/ANXA1/ATP1A1/RXRA/PCNA/KANK2/JUN/EGFR/NR3C1/PGRMC2/SMARCA4/TXNIP/LMO3/ALAD/SCGB2A2/FOS/DAB2/URI1/BCL2/AQP1/FOXA1/RBFOX2/COL1A1/SCNN1A/ESR1/CBX3/NR1H3/IDH1/PER1/CRY1/ZBTB7A/KLF9/ZFP36/IL22/JUNB/FAM107A/SPP1/INHBA/CNOT2",53
"GO:0007162","negative regulation of cell adhesion","50/1283","312/18805",0.16025641025641,2.34888682375042,6.50123307288333,1.34459219581877e-08,2.43749353998271e-06,1.73956615334053e-06,"ADIPOQ/PDE3B/EPCAM/TACSTD2/RGCC/KANK1/ITGB1BP1/ANGPT1/CDH1/CD9/DLC1/FZD4/KLF4/SPINT2/SDC4/ASS1/MUC1/C1QTNF1/ANXA1/LGALS1/PTEN/PPM1F/PTPN11/LGALS3/DUSP1/POSTN/PAWR/DLG5/CEBPB/MDK/WNK1/DUSP3/PLXND1/STAT5A/SMAD7/COL1A1/APOD/ITCH/FZD7/XCL1/GTPBP4/PIK3R1/CORO2B/MAP4K4/HRG/PTPN2/BMP2/FAM107A/PTPRO/PLXNB1",50
"GO:1905475","regulation of protein localization to membrane","37/1283","197/18805",0.187817258883249,2.75284766430202,6.69227918131484,1.55381642441237e-08,2.73142093273218e-06,1.94933333244462e-06,"SORBS1/ITGB1BP1/SPTBN1/SFN/ANK3/PRKCI/PID1/RHOQ/GSN/INPP5K/VTI1B/ZMYND8/TMBIM1/EGFR/PPP2R5A/VAMP8/GPC3/LGALS3/RER1/CD81/DAB2/STOM/ATP2B4/AGR2/WNK1/ACSL3/NETO2/FYN/VPS4A/KCNB1/FARP1/CHP1/PIK3R1/MIEF1/EPHA3/CLIP3/EZR",37
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","36/1283","190/18805",0.189473684210526,2.77712597940682,6.6620840484174,1.91066105655714e-08,3.17275414827169e-06,2.26429963348471e-06,"LEP/AKR1C2/AKR1C3/FERMT2/ITGB1BP1/CAT/ANGPT1/GATA3/DDR1/IRS2/TPBG/C1QTNF1/TMEM100/IGF1/EGFR/TEK/XBP1/FGF2/FN1/GPX1/NTRK2/DDR2/FLT1/DCN/RTN4/APP/TYRO3/PINK1/PRR5/TXN/VAV3/TCF7L2/FGFR1/RET/THPO/PLXNB1",36
"GO:0033002","muscle cell proliferation","43/1283","251/18805",0.171314741035857,2.51096937270404,6.52109245112962,1.91426297516823e-08,3.17275414827169e-06,2.26429963348471e-06,"RBP4/ADIPOQ/CAV2/PPARG/TGFBR3/ANGPT1/S1PR1/IGF1/JUN/PTEN/EGFR/CDK1/XBP1/FGF2/ZFPM2/MYB/IL6R/NAA35/FOS/IL12A/ADAMTS1/DDR2/CITED2/NPR1/EFEMP2/CTNNB1/TLR4/APOD/MAP3K7/MAPK11/NDC80/PIK3R1/ANG/IGFBP3/TCF7L2/NDRG4/KCNK2/FGFR1/ITGB3/EPHB1/STAT1/BMP2/TENM4",43
